endpoint,request_count,avg_response_ms,p95_response_ms,total_bytes,error_count
/api/v1/users//create,1380,69.85363592617753,261.2721923828123,3557732107,227
/api/v1/reports//create,1345,71.57393413104089,257.98200683593745,3482056700,241
/api/v2/reports//list,1335,68.94118972378277,241.02460327148412,3397318336,234
/api/v2/search/,1332,69.35843069632132,258.92306060791014,3451330873,211
/api/v2/products//export,1322,66.9848123108926,234.6706970214844,3498828060,234
/api/v1/notifications//create,1322,66.46028448846445,232.81829681396496,3520697424,234
/api/v2/analytics//bulk,1321,65.6162501182816,226.7779998779297,3538795748,231
/api/v2/analytics//detail,1320,65.82246537642045,220.0258506774902,3480852752,207
/api/v1/search//list,1320,67.01277891216856,236.5471450805664,3520436966,212
/api/v1/analytics//create,1315,70.55830115256654,248.3042022705078,3459203253,211
/api/v2/users//stats,1314,62.433922243626334,214.81189804077144,3443275134,225
/api/v2/analytics//export,1313,76.61310720915841,267.13038940429465,3503360058,218
/api/v1/inventory//create,1309,65.2213283040489,228.69659423828097,3503841981,202
/api/v2/analytics//list,1306,69.62667496171517,251.77674865722656,3417414653,193
/api/v2/orders//bulk,1305,64.07559865900383,218.8337982177734,3494657447,261
/api/v1/notifications//update,1305,73.30178699712644,278.7764038085934,3376421258,237
/api/v1/orders//create,1305,72.28501107519158,235.22980651855454,3380804160,239
/api/v2/users//bulk,1304,68.33474225939418,237.5346023559564,3501550924,228
/api/v1/reports//list,1303,70.93080871066769,246.62020111083945,3358269826,213
/api/v2/notifications//delete,1299,69.48544553502694,235.16430664062457,3438181005,233
/api/v1/inventory//list,1299,68.02409906658968,243.4915054321287,3403295719,222
/api/v2/inventory//create,1298,67.72661817459553,245.70989456176648,3408489791,221
/api/v1/users//export,1298,68.61993887832242,225.41885604858336,3445412873,234
/api/v1/orders//list,1296,69.1898351598669,221.0922508239746,3414824802,221
/api/v1/notifications//delete,1296,73.2453281732253,256.0497512817383,3411073851,216
