region,request_count,avg_response_ms,total_bytes_gb,error_rate
af-south-1,16702,67.68071578254101,43.676250459,0.16710573584001917
ap-northeast-1,16772,68.09187646076795,44.01220605,0.16748151681373719
ap-south-1,16613,68.10026274604226,43.949022252,0.16818154457352677
ap-southeast-1,16605,68.99379993977718,43.818463907,0.17145438121047876
ap-southeast-2,16627,67.65922487520298,43.372604847,0.17062609009442473
ca-central-1,16537,68.8358640624055,43.208353629,0.17131281369051218
eu-central-1,16588,67.19379786592718,43.353575054,0.16939956595129008
eu-north-1,16866,68.15291041147871,44.426425376,0.16542155816435433
eu-west-1,16569,69.35318462188424,43.49845666,0.1688695757136822
eu-west-2,16767,68.66825681397984,43.939656907,0.16657720522454822
me-south-1,16632,67.87594708994709,43.908441672,0.17093554593554594
sa-east-1,16713,69.71392610542692,43.74345894,0.16879076168252258
us-east-1,16725,66.41825279521673,43.878950982,0.16771300448430493
us-east-2,16436,67.46606145047457,43.034224987,0.16737649063032367
us-west-2,16508,68.29132547855586,43.181609172,0.17161376302398837
